[02:24:51] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[02:24:55] [ServerMain/INFO]: No existing world data, creating new world
[02:24:58] [ServerMain/INFO]: Loaded 7 recipes
[02:24:59] [ServerMain/INFO]: Loaded 1271 advancements
[02:25:01] [Server thread/INFO]: Starting minecraft server version 1.20.4
[02:25:01] [Server thread/INFO]: Loading properties
[02:25:01] [Server thread/INFO]: Default game type: SURVIVAL
[02:25:01] [Server thread/INFO]: Generating keypair
[02:25:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:25:02] [Server thread/INFO]: Using epoll channel type
[02:25:02] [Server thread/INFO]: Preparing level "world"
[02:25:34] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:37] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:38] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:39] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:40] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:41] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:41] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:42] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:43] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:45] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:46] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:46] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:47] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:47] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[02:25:48] [Worker-Main-3/INFO]: Preparing spawn area: 0%
